V_0	V_1	V_2	
0.000901118	-0.00372333	-0.00108518	
0.000843287	-0.00372178	-0.00108251	
0.000822306	-0.00370519	-0.00108732	
0.000844297	-0.00367237	-0.00103788	
0.000869676	-0.00380306	-0.00104257	
0.000892322	-0.00373249	-0.0010853	
0.000885071	-0.00368724		
0.000876868	-0.00372648		
0.000928638	-0.00377268		
0.000862069	-0.00365168		
0.000862544	-0.0037379		
0.000851251	-0.00380247		
0.00086825	-0.003753		
0.000838472	-0.00374045		
0.000838532	-0.00373992		
V_0	V_1	V_2	
0.000853688	-0.00371649	-0.00102201	
0.000856957	-0.00377155	-0.00102581	
0.00084394	-0.00373819	-0.0010103	
0.00090522	-0.00375889	-0.0010897	
0.000909499	-0.00370793	-0.00102023	
0.000901	-0.00371191	-0.00101268	
0.000870509	-0.00367065	-0.000974767	
0.000905576	-0.00372315	-0.00102249	
0.000939633	-0.00381382	-0.000955097	
0.000898206	-0.00373094	-0.00100525	
0.000893035	-0.00374771	-0.00101773	
